itemId,name,iconId,category,type,value,job,price,ownerCityId,item_description
22,莱姆汁,21,4,4,0,0,10000,1,不管记多少次都还会出水的神奇莱姆，航海中可以为海员治疗坏血病。
23,赫密士的祈祷,22,4,4,0,0,18000,1,神秘的戒指，有奥林帕斯12神之中的交通神赫密士的灵魂附着，即使发生暴风雨，也会保护海员安全。
24,华佗的中药,23,4,4,0,0,12000,1,对任何传染病都有效的药，用中国三国时代的名医华佗发明的制法所制作，服用微量即可有效。
25,漆黑的双刃长剑,24,1,1,24,0,18000,1,刃和柄的部分涂黑，会发光的窄身剑。
26,拉奥孔剑,25,1,1,34,0,18400,1,传说中的希腊时代的特洛伊神官拉奥孔使用过的宽刃剑。
27,罗恩格林的佩剑,26,1,1,44,0,66000,1,传说中的骑士罗恩格林使用过的佩剑，比一般的剑刃长，锋利。
28,残月弯刀,27,1,1,39,0,44000,1,刀身呈S行弯曲，刃的部分泛金光，看上去像月牙。
29,勇者的三日月刀,28,1,1,29,0,28000,1,装饰豪华的曲剑，是勇士的证物。
30,黄金军刀,29,1,1,15,0,30000,1,十分沉重的军刀，全部由黄金打造。
31,勇气宝剑,30,1,1,27,0,24000,1,不可思议的剑，一握在手中全身就充满勇气，外表看来普通，实战中却极其顺手。
32,印度琉璃剑,31,1,1,32,0,16000,1,印度制的佩剑，嵌有无数琉璃珠，据说打造于古代。
33,荡寇双刃剑,32,1,1,47,0,56000,1,一眼看去只是一把旧剑，不过曾被以前消灭近海海盗的提督长期使用。
34,忠诚偃月刀,33,1,1,30,0,29200,1,宽幅的偃月刀，某舰队的副官曾用其斩杀过教唆提督叛变的船员。
35,堕落天使短剑,34,1,1,36,0,42000,1,短剑，柄呈H型，颜色和装饰与众不同，处于不明。
36,银光双手剑,35,1,1,33,0,35200,1,刃发白光的双手剑，发光的原因不明。
37,浴血月牙刀,36,1,1,43,0,64000,1,刃的部分呈红色，状如月，让人联想此刃饮血无数。
38,犹太的魔剑,37,1,1,50,0,100000,1,通称“背叛之剑”，有种被恶魂缠住的阴森感觉。
39,赵子龙的枪,38,1,1,52,0,132000,1,三国时代蜀汉将赵云使用过的枪，枪是他最擅长的武器。
40,赎罪镇魂剑,39,1,1,40,0,22400,1,剑中极品。由于只会不利而导致众多部署枉死的将军，为了表达歉意，将其赠送给亡者的家属。
41,红发女海盗的宝剑,40,1,1,41,0,57000,1,美貌的红发女海盗所使用过的剑，锋利无比，也是件评价极高的宝物。
42,弥诺陶洛斯的大斧,41,1,1,37,0,47200,1,大斧，传说中张喆牛头的怪物尔诺陶洛斯手持的强力武器。
43,鬼怪的菜刀,42,1,1,19,0,10000,1,不可思议的菜刀，烹饪时用，但是到了愤怒的人手里就立刻变成强力的武器。
44,托拉洛克的小刀,43,1,1,31,0,31400,1,呈鲜艳蓝色的刀子，据说得到阿斯帝迦的水神托拉洛克的保佑。
45,斧枪,44,1,1,45,0,67000,1,柄为黑色，前面弯曲的斧。是优秀的武器，但是总有一种莫名的奇怪感觉。
46,忽必烈的大刀,45,1,1,48,0,87000,1,蒙古英雄忽必烈汗使用的大刀，极品，从上往下劈时威力极大。
47,战神的圣枪,46,1,1,54,0,170000,1,传说中的枪，据说奥林帕斯12神之中的战神阿雷斯使用过，其特有的光芒让人联想到火焰。
48,圣剑厄克斯卡里巴,47,1,1,57,0,250000,1,圣剑，锐利的刀刃可以碎石，据说英国传说中的亚瑟王曾佩带过。
49,妖刀村正,48,1,1,60,0,100000,1,带有奇怪妖气的日本刀，锋利无比，但是据说曾给拥有它的人带过厄运。
50,苍蓝橡木盾,49,2,2,24,0,16000,1,圆形小盾，非常坚固，青色，用不可思议的橡木制成。
51,穿山甲的铁皮,50,2,2,18,0,9500,1,用大穿山甲的皮制成的盾，非常轻，但是比铁还坚固。
52,银盔,51,2,2,22,0,13000,1,有醒目的特殊装饰的头盔，表面覆盖银箔，闪烁着美丽的光芒。
53,不死鸟的头盔,52,2,2,38,0,52000,1,一部分像嘴那样尖的头盔，装饰成振翅欲飞的鸟的形状，表现不怕死的精神。
54,大象龟的盾,53,2,2,23,0,14200,1,用巨大的象龟的甲壳制造的盾，比矿石还要坚硬很多。
55,精灵服装,54,2,2,26,0,18000,1,纯白的礼服，穿上后心中特别温暖，传说有精灵保佑穿着它的人。
56,断刃之武艺服,55,2,2,33,0,19500,1,轻而且坚韧的武术服，对手的剑刺上后悔断刃。
57,凉爽的铠衣,56,2,2,34,0,41000,1,透气性极佳的铠甲，穿着它的人会感觉特别清凉，强度也相当高。
58,卡涅姆勇者的盾,57,2,2,26,0,20000,1,非洲中部11世纪繁荣的国度，卡涅姆的战士们使用过的盾，非常坚固。
59,狂徒骑士铠甲,58,2,2,28,0,25000,1,据说是陷入奇怪迷信的骑士穿过的铠甲，设计格调相当糟糕。
60,深红连环神甲,59,2,2,36,0,48000,1,以铁环链接增加强度的铠甲，传说过去在战斗中曾发出红光，有神明保佑穿着它的骑士。
61,帖木儿的锁战袍,60,2,2,37,0,50000,1,最重视实用性的战袍，稍重。14世纪繁荣一时的帖木儿帝国国王帖木儿曾使用过。
62,孔雀袍,61,2,2,31,0,32000,1,背后插着孔雀毛的漂亮战袍，美丽而引人注目，但是强度差，因为制作时优先考虑外观而非实用性。
63,图拉战士的头盔,62,2,2,30,0,30000,1,传说中的盔，据说古代阿斯帝加的图拉战士战斗戴上它 勇气倍增。
64,忍者的黑装束,63,2,2,41,0,65535,1,东洋忍者穿的黑衣，便于活动，不引人注目，是处于的防具。
65,琥珀色铠甲,64,2,2,43,0,70000,1,带有黄色光泽的不可思议的铠甲。是优秀的防具，但是材质和制造时间都还是个迷。
66,有迦戈神灵的护身衣,65,2,2,40,0,62000,1,用巨大的美洲豹的毛皮制造的出色铠甲，据说是传说中的美洲豹神迦戈所赠与的。
67,背德魔铠,66,2,2,50,0,100000,1,看着就令人害怕的铠甲，是从将灵魂卖给无墨而得到力量的骑士的物品中发现的，据说它会选择主人。
68,女皇的长袍,67,2,2,45,0,84000,1,外表令人害怕，但却是优秀的防具，过去专横无度的女皇被暗杀时穿着它。
69,教经的铠甲护腿,68,2,2,48,0,95000,1,出色的防具，平家的武将平教经在墰浦溺水时穿着它。
70,艾提拉套装,69,2,2,55,0,180000,1,极品的铠甲，令欧洲人惧怕的古代胡人的大王艾提拉穿过。
71,美杜莎的盾,70,2,2,52,0,125000,1,外表令人害怕，但却是出色的盾，受到美杜莎头发的启发而制造的。
72,萨拉丁的银铠,71,2,2,58,0,220000,1,与十字军作战的伊斯兰英雄萨拉丁穿过的铠甲，是德艺兼备者的证物。
73,卡尔马提铠甲,72,2,2,60,0,270000,1,法兰克亡国的卡尔·马提在国尔波瓦第战役时穿的铠甲，符合国王身份十分坚固、美观是极品。
74,密涅瓦的盾,73,2,2,48,0,88000,1,会自己发光的神奇盾牌，坚固，据说奥林帕斯12神中的战斗女神密涅瓦使用过。
75,魔法的皮手套,74,3,3,40,2,90000,1,不可思议的皮手套，上下攀爬桅杆时能保护手。
76,精励的粗绳,75,3,3,54,2,120000,1,纯白的粗绳，使用在桅杆上。一使用它，不知为什么就想做活，神奇的缆绳。
77,天河星图,76,3,3,32,3,50000,1,描述天河的星星的画轴，据说是海员休闲时一边眺望夜空一边绘制的。
78,星影的天体仪,77,3,3,63,3,62500,1,不可思议的天体仪，依夜空的星光能显示出星星的位置。
79,赫拉提斯的诗集,78,3,3,34,4,1500,1,公元前罗马的诗人贺拉提斯的作品，告诉人们要快乐地生活，无欲无求。
80,天方夜谭,79,3,3,45,4,2000,1,以阿拉伯为中心的民间故事集，讲述一个少女连续一千零一夜讲了各种各样的故事。
81,世界奇闻集,80,3,3,12,4,3500,1,将世界中令人笑不出来的无聊笑话汇集而成的书，据说编者是日本人。
82,黄金圆规,81,3,3,57,5,50000,1,纯金的圆规，非常高价，据说是过去非常繁荣的国家的国王，为了送给优秀的海员所投资制造的。
83,怀表,82,3,3,18,5,5000,1,盖子里面画有圣母像的怀表，拥有的人据说可以得到保佑。
84,洛克的驾船指南书,83,3,3,40,6,90000,1,生活在海上的老海员洛克编集的驾船指南书，自传体，非常有用。
85,天佑的手镯,84,3,3,50,1,240000,1,不可思议的手镯，上面雕刻的天使带来上天的护佑。
86,善导的拐杖,85,3,3,70,1,420000,1,具有神奇力量的拐杖，如果集团的头目拥有它，可以引导手下的人向善。
87,战士们的小鹅笛,86,3,3,35,1,82000,1,鸠形的乐器，银色柔美，使听者心情祥和，激发干劲。
88,豪言壮的鸟嘴,87,3,3,63,7,75000,1,神秘的物品，拿着它时不知道为什么嘴里就会连续不断的信口胡说。
89,东方见闻录,88,3,3,34,7,10000,1,13世纪完成的著作，马克·波罗将他去东方旅行时的见闻总汇而成。
90,战鼓,89,3,3,15,8,2500,1,战场上敲的大鼓，让大军知道进退。
91,波塞冬的吼叫,90,3,3,40,8,110000,1,奥林帕斯12神的海神波塞冬的灵魂所附着的项链，勇气的象征。
92,高卢战记,91,3,3,28,8,8000,1,公元前1世纪，凯撒写的书，详细记述了七年间对高卢作战的经过。
93,亚历山大远征记,92,3,3,32,8,12000,1,公元前前4世纪的马其顿国王亚历山大，详细记载其远征路程情况的文献。
94,奇迹的炸弹项链,93,3,3,52,9,140000,1,子弹形的项坠，据说可以呼唤奇迹。
95,精制火药的秘传书,94,3,3,47,9,50000,1,正确记录精制火药所需的硝石、硫磺、木炭等的混合比、摩擦、热度等条件的卷轴。
96,射穿魔鬼的箭,95,3,3,68,9,320000,1,据说是神话时代，天使讨伐恶魔时用过的箭。
97,狮子牙的锯子,96,3,3,32,10,65000,1,古代流传下来的名匠的锯子，据说古代为帝国建宫殿时用过。
98,菲迪亚斯的釜子,97,3,3,56,10,170000,1,精致的釜子，据说公元前希腊的雕刻家菲狄亚斯喜欢用，附着了艺术家的灵魂。
99,不用磨刀的刨子,98,3,3,21,10,30000,1,刃用钻石制成，没有缺口，非常完美。
100,赫洛菲洛斯的医学书,99,3,3,74,11,97000,1,古希腊时代医学之祖赫洛菲洛斯所完成的世界上最古老的医学者。
101,达·文西的人体解剖图,100,3,3,37,11,20000,1,意大利的天才李奥纳多·达·文西汇总自己的人体研究成果而成的最新的医学书。
102,医学典范,101,3,3,48,11,62000,1,11世纪完成于伊斯兰地区的综合医学书。
103,赫斯提亚的锅,102,3,3,60,12,300000,1,奥林帕斯12神中灶神赫斯提亚的锅，只要放入食物原料，自然就能做出饭菜。
104,粉红色的围裙,103,3,3,20,12,7000,1,非常可爱的围裙，若不管粉红色是否适合粗鲁的海员的话。
105,带纱布的口罩,104,3,3,30,13,2500,1,小口罩，为对付饲养室的恶臭而发明的，以手工精心制作而成。
106,讲究的长流鞋,105,3,3,45,13,95000,1,橡胶制的漂亮长靴，由于在饲养室脚总是弄得很脏，所以用大量贵重的橡胶制作而成。
107,格列高丽斯的皇冠,106,3,3,50,14,235000,1,11世纪权势显赫的罗马教皇格列高里斯七世的皇冠，象征着教皇的绝对权力。
108,有插图的圣经,107,3,3,24,14,20000,1,将圣经中难以理解的部分配上插图，以便于理解的书。
109,古代十字架,108,3,3,30,14,60000,1,奇迹的十字架，耶稣去世那年制作，长时间埋在土里，经过千年以上财露出地表。
110,孙子兵法书,109,3,3,30,15,58000,1,中国的兵法家孙子所写的战术书，多为关于陆战的内容，但是与海战的道理想通，有用处。
111,古伏塔的灵兽,110,3,3,45,15,220000,1,被认为是5世纪印度王朝古伏塔制造的青铜像，据说能预测事情的失败。
112,汉尼拔战记,111,3,3,24,15,10000,1,公元前与罗马作战的迦太基将军汉尼拔的战记，记述了独特卓越的作战。
113,纪伊国屋的算盘,112,3,3,39,16,20000,1,中国、日本使用的商用计算工具，用手指拨珠进行计算。
114,维萨斯的天秤,113,3,3,58,16,195000,1,有名的伊斯兰商人使用的天秤，精度很高，几乎没有误差。
115,大鹫像,114,4,6,1,0,58000,1,在船头放上好似在广阔的填空迅速飞翔的大鹫的船首像，船就会飞速前进。
116,小猪像,115,4,6,2,0,36000,1,以3头神态安详的可爱小猪为造型的船首像，装载船上可以减少饭量。
117,虎鲸像,116,4,6,3,0,50000,1,尾巴倒立、威吓敌人的虎鲸形象的船首像，据说装上它的舰队连可怕的暴风雨也可以躲避。
118,白鲸像,117,4,6,4,0,45000,1,是白鲸的船首像。白鲸将自己的身体隐藏后被发现，这是表示鲸不战的意识的证据。装上白鲸的船首像好像是不易沉船。
119,龙像,118,4,6,5,0,60000,1,表现瞪着敌人、欲发动进攻的龙的形态的船首像，装上它的船只对敌炮击能力会有所提高。
120,海豚像,119,4,6,6,0,49000,1,心情舒畅地在海中畅游的可爱父子海豚的船首像，据说可以看见更多的东西。
121,处女像,120,4,6,7,0,63000,1,制成纯真少女形状的船首像。以她楚楚动人的美丽带给人们舒适与安逸。
122,魔鬼像,121,4,6,-1,0,20000,1,附加着魔咒的不祥船首像。好像能带来各种效果。
123,王者像,122,4,6,8,0,70000,1,展现国王形象的船首像。国王亲临前线，指挥属下的身影令水手们倍受鼓舞。
124,圣母像,123,4,6,9,0,80000,1,展现圣母怀抱婴儿的船首像。她完全处于上帝的保护之中，富有抵御瘟疫等候侵袭的神秘力量。
125,罗盘,124,3,3,24,0,5500,1,航海工具。在海上确定方向实不可取。由中国所发明。
126,六分仪,125,3,3,15,0,2500,1,航海工具。用它很容易知道在海上的确切位置。
127,阿里斯塔克斯望远镜,126,3,3,65,0,90000,1,望远镜。是古希腊时代的天文学家阿里斯塔克斯制作的。可以看到很远的地方。
128,冰冻的玫瑰,127,5,7,0,0,1250,1,蔷薇形状的玻璃工艺品。制作极其精细，宛如由鲜花冰冻而成一般。
129,彩虹色的玻璃珠,128,5,7,0,0,1500,1,有美丽色彩的玻璃珠。在原料上进行特殊加工而成，制作方法严禁外传。
130,沙金,129,5,7,0,0,5000,1,沙子状黄金。细细碎碎的，但价值很高。与金块风格不同，非常漂亮。
131,制作面包的石臼,130,5,7,0,0,1000,1,把小麦磨成分粉，用来制作面包材料的石磨。对于劳动妇女是最高的礼物。
132,徽宗的北宋书,131,5,7,0,0,35000,1,水彩画。是鲸鱼书画的北宋皇帝宋宗辉所画。所画人物典雅清秀，所以画面风格超凡脱俗。
133,仙女的彩绸,132,5,7,0,0,50000,1,传说中的仙女的彩巾。据说是从天而降的，美丽仙女返回天庭时遗忘在人间。
134,萨佛的诗集,133,5,7,0,0,5000,1,书。希腊时代的女诗人萨佛的作品。歌颂了爱与美。
135,惊叹的壶,134,5,7,0,0,30000,1,从土里挖掘出来壶。因为发掘的底层时代土器尚未发达，所以引起了考古学者的争论。
136,米罗的维纳斯,135,5,7,0,0,80000,1,视为希腊时代作品的美女相。被认为是当时技术的结晶。
137,彩色玻璃小花,136,5,7,0,0,2000,1,以盛开在小花瓶中的小花为图案制作的彩色玻璃。可以说是用彩色的玻璃再现温柔美的珍品。
138,新罗的金冠,137,5,7,0,0,55000,1,由朝鲜半岛第一个统一国家新罗所制作的黄金王冠。工艺华丽，人们很难想到这是七世纪时代的作品。
139,陶瓷的耳环,138,5,7,0,0,9000,1,使用小块瓷珠制作的耳环。将红、白原料巧妙组合而成的，颜色非常美丽。
140,翡翠的大珠,139,5,7,0,0,7500,1,美丽的大颗翡翠。成美丽的珍珠状，光线照耀下呈白色，是翡翠中的极品。
141,誓言戒指的剧本,140,5,7,0,0,8500,1,书。4世纪时代印度创作的古典小说，描写了仙女与神仙的爱情的故事。
142,正仓院的水壶,141,5,7,0,0,52000,1,收藏于奈良正仓院的水壶。据说是产于波斯，远渡重洋而来，但无法考虑。
143,黑琉璃碗,142,5,7,0,0,7000,1,中国产的茶碗。在光线照耀下，里侧的蓝色斑点花纹更加色彩斑斓。
144,大花朵的毛毯,143,5,7,0,0,7500,1,波斯产高级地毯。用手工精心织成，大朵向日葵是一针针手织而成的。
145,书细雪的长袍,144,5,7,0,0,5000,1,穿着舒适的丝绸长袍。用相当薄的纯白材料制成。非常轻。
146,高丽青瓷香炉,145,5,7,0,0,12000,1,朝鲜制成的高丽青瓷香炉。涂釉后的成色特别独特。
147,高级放大镜,146,5,7,0,0,10000,1,什么都能看清楚的价格昂贵的放大镜。镜片之大堪称世界之最。
148,七色鹦鹉,147,5,7,0,0,13000,1,栖息于南部国家色彩鲜艳的鸟类。它能准确地模仿人类语言，是一种神奇的鸟。
149,狩猎神鸟的弓箭,148,6,9,0,0,90000,1,用紫衫制成的弓。据说是北欧神话中的射箭能手，狩猎之神鸟尔用的。
150,肯毕西斯的王冠,149,6,9,0,0,110000,1,传说的王冠。公元前世纪时代，阿契科曼尼王朝的肯毕西斯国王，在领土扩大后为了炫耀自权力，令人制作的。
151,阿克斯姆王的金印,150,6,9,0,0,140000,1,纯金制成的印章。据说是伊索比亚的前身，繁荣于2~6世纪的国家阿克斯姆的国王，在加盖公文时使用的。
152,吠陀本集,151,6,9,0,0,80000,1,印度最古老的文献。据说完成于公元前15~10世纪时代。反映了古代雅利安人的生活观念，成为印度思想的源泉。
153,库德里的永久护符,152,6,9,0,0,120000,1,木制护身符。是由于在印度尼西亚繁荣发展于10~13世纪的国家库德里传说下来的。据说它保护岛上所有居民避免灾难。
154,秦始皇的长信宫灯,153,6,9,0,0,100000,1,黄铜制的烛台。据说是公元前3世纪中国秦始皇所用。在建造阿房宫等宫殿时制成的。
155,水晶头盖骨,154,6,9,0,0,95000,1,把水晶磨光，制成的头盖骨形状。它的制作方法是一团迷。
156,泰勒斯的纸地图,155,6,8,0,0,1000,1,古地图。画在纸上。
157,库雷欧布罗的布地图,156,6,8,0,0,1000,1,古地图。画在布上。
158,贝利安德罗的石地图,157,6,8,0,0,1000,1,古地图。刻在石板上。
159,俊伦的叶地图,158,6,8,0,0,1000,1,古地图。令人称奇的是画在不会干枯的荷叶上。
160,毕阿斯的货币地图,159,6,8,0,0,1000,1,古地图。看上去像图案却发挥了地图的作用。
161,科以伦的竹地图,160,6,8,0,0,1000,1,古地图。把特别粗的竹子劈成两半，画在竹子内侧。
162,比塔科史的刀刃地图,161,6,8,0,0,1000,1,古地图。刻在大刀的刀尖上。
163,去环状石柱遗迹的地图,162,6,8,0,0,500,1,英国南部的详细地图。上面画着未知的记号。
164,去古代竞技场的地图,163,6,8,0,0,700,1,古罗马帝国首都一带的地图。整个意大利几乎尽收其内。
165,去岩窟村庄的地图,164,6,8,0,0,1500,1,小亚细亚的古地图，把基督徒教徒藏身的村落位置标着记号。
166,撒哈拉大沙漠地图,165,6,8,0,0,1500,1,沙漠的地图。是与撒哈拉沙漠正中的神秘城市，廷巴克图进行交易的商队使用的。
167,去帝王清真寺的地图,166,6,8,0,0,2000,1,不明地图。在地图正中央做了标记，标记上画着国王的清真寺。
168,穆嘎儿帝国地图,167,6,8,0,0,1000,1,印度北部的大帝国木嘎尔帝国的详图。到首都德里的路线一目了然。
169,去古代寺院的地图,168,6,8,0,0,1000,1,古代柬埔寨王朝时代的地图。中央画着被视为王宫兼寺院的建筑物。
170,去北京的地图,169,6,8,0,0,1000,1,中国北部的详图。标示着前往首都北京的路线。
171,去王陵的地图,170,6,8,0,0,2500,1,标着通向国王墓地路线的地图。有些部位已经无法解读。
172,去金阁寺的地图,171,6,8,0,0,3000,1,标有前往传说中，在黄金之国日本建造的寺院路线的地图。
173,去古代城市遗迹的地图,172,6,8,0,0,1000,1,详细标有现在成为废墟的古代城市，和相距很远的岛屿之间往来情况的地图。
174,奥斯迪加王国彩绘地图,173,6,8,0,0,2000,1,记录阿斯帝迦王国文化发源的图画书。画有王国的图画地图。
175,老旧的羊皮纸,174,6,10,0,0,100,1,空白的羊皮纸。它的用途是个迷。
176,画有图案的布,175,6,10,0,0,100,1,一块画着奇怪图案的布。
177,神秘的石板上半部,176,6,10,0,0,100,1,刻着神秘图案的石板的上半部。
178,不枯萎的莲叶,177,6,10,0,0,100,1,据说是从太古时代至今还活着，不会干枯的荷叶。
179,古代王国钱币,178,6,10,0,0,100,1,被认为是古王国使用的钱币。上面刻着的图案和文字已经腐蚀地模糊不清了。
180,唐代的竹签品,179,6,10,0,0,100,1,被认为是唐朝时代中国制作的竹工艺品。
181,典礼用的小刀,180,6,10,0,0,100,1,新大陆的古代王朝在仪式上使用的刀子。不像武器那么锋利。
182,红色燃料,181,6,10,0,0,100,1,鲜艳的发色燃料。一般不使用，原料也不清楚。
183,黄铜制煤油灯,182,6,10,0,0,100,1,黄铜制成的某油灯。好像在祭祀典礼上使用。
184,神秘的石板下半部,183,6,10,0,0,100,1,刻着神秘图案的石板的下半部。
185,贵霜朝的大盘,184,6,10,0,0,100,1,在古印度制作。好像用来当做进献他国的供品。
186,装有乳液的壶,185,6,10,0,0,100,1,盛满乳白色液体的小壶。
187,竹签品的组合说明图,186,6,10,0,0,100,1,拼装竹工艺品的详细图解。
188,太阳图纹的刀鞘,187,6,10,0,0,100,1,刻着取自太阳形状的图案的小刀鞘。
189,金铜的步钱,188,6,11,0,0,100,1,制造中国古代的货币。在铜制的主体上镶了一层金箔。
190,其阿丁的天文观测仪,189,6,11,0,0,100,1,负责通知礼拜时间的执事僧（莫阿丁），为了观测天体使用的天体观测仪。
191,昆毕制成的披肩,190,6,11,0,0,100,1,用羊驼毛（昆毕）织成的最高级的披肩。织成的是不足特有的图案。
192,藏宝地图,191,6,12,0,0,100,1,标着宝物位置的地图。
193,哈尔舒的供品车,192,6,9,0,0,100000,1,澳大利亚北亚的铁器文明哈尔舒塔的产物。是一部4轮车，装满了仿造献给神的供品的祭祀品。
194,阿葛曼农的面具,193,6,9,0,0,100000,1,与盛于希腊的迈锡尼国王阿葛曼农的黄金面具。
195,羊头狮身像,194,6,9,0,0,100000,1,在黑人王国库舒以琥珀金制作的像。狮子身上安着阿门神的圣兽羊头。
196,萨尔贡的头像,195,6,9,0,0,100000,1,取自打败耶稣美丽的阿卡得国王萨尔贡的头像。
197,琼恰克的王冠,196,6,9,0,0,100000,1,在越南同妹妹陈妹一起抵抗汉民族的统治，不费吹灰之力攻陷65座城市的女中豪杰琼恰克的王冠。
198,殷代方形鼎,197,6,9,0,0,100000,1,所谓鼎就是盛装献给神之供物的容器。方形的有4个脚，鼎身上刻着饕餮和铭文。
199,契慕的斧头,198,6,9,0,0,100000,1,由繁荣与盛于安第斯地区的契慕王国制作，仪式上用的斧头。
200,怪鱼像,199,4,6,0,0,80000,1,取自可怕的怪鱼形状的雕像。看到怪鱼任何敌人都无心恋战。
201,提督像,200,4,6,0,0,65000,1,刻画伟大提督勇猛形象的雕像。据说不能直接察觉它的效果。
202,红鹤羽毛鞋,201,3,3,36,2,72000,1,能使人感觉身体好像变轻，多高的地方都能轻松而上的鞋。
203,巴班吉达的佩剑,202,1,1,37,0,51000,1,族长巴班吉达所佩戴的剑。据说使用这剑能平定部族间的纷争。
204,恍惚的波浪形剑,203,1,1,45,0,89000,1,刀身像波浪形的剑。在齿根处装饰着龙头。
205,瞬杀阿拉伯短剑,204,1,1,43,0,81000,1,具有伊斯兰特有形状的短剑。为了暗杀而制作，所以杀伤力很强。
206,祝福之盾,205,2,2,42,0,78000,1,雕刻着胜利女神奈奇的盾。据说奈奇能保护迟盾者取得胜利。
207,霸王的头盔,206,2,2,39,0,57000,1,据说西楚霸王项羽使用的头盔。站在队伍的阵前，能提高本队的士气。头盔本身的防御力很强。
208,思奇比奥的铠甲,207,2,2,51,0,105000,1,古罗马帝国的名将思奇比奥喜爱使用的盔甲。护胸上装饰着美丽的浮雕。
