cityId	city_name	seaAreaId	cultureId	cityType	longitude	latitude	commerce	milltary	goods	goodsCommercialNeed	goodsPrices	goodsAbundance	goodsHidden	buildings
53	安勃那	2	15	2	127.9	-3.6	2400	1500	22;23;24;5;84	2400;2000;2500;2000;2000	350;360;330;350;370	20;25;20;20;10	1;0;0;0;0	1;2;3;4;7;8
54	杭州	1	16	1	121	30.2	3600	4000	43;53;62;66;83	1000;2000;4000;3500;3600	850;750;1100;2780;2300	25;25;12;12;8	0;0;0;0;1	0;2;3;4;5;6;7;8
55	泉州	1	16	2	119.5	25.6	2800	2500	21;32;49;73;88	2000;2000;1500;2800;2500;	450;550;400;1670;430	22;25;25;12;25	1;0;0;1;0	1;2;3;4;7;8
56	澳门	1	16	2	113.9	22.5	3200	3000	7;17;32;43;49	3000;3000;2800;3200;2400	450;230;480;820;510	20;23;17;15;8	1;0;0;0;1	1;2;3;4;5;7;8
57	京城	1	17	1	126.6	36.1	2400	2800	18;43;49;53;80	1500;2400;2000;2000;2400	360;800;500;750;2700	25;15;8;7;20	0;0;0;0;0	0;2;3;4;5;6;7;8
58	长崎	1	18	2	129.5	33.6	2700	1800	40;42;52;60;69	2000;3000;2000;3000;2000	1850;1150;550;1550;1060	15;17;15;8;20	0;1;0;0;0	1;2;3;4;5;7;8
59	大阪	1	18	1	135.4	34.7	2600	2200	38;44;45;49;73	2000;1800;3000;2500;3000	520;710;725;480;1670	25;25;25;25;12	0;0;0;1;1	0;2;3;4;5;6;7;8
60	那霸	1	18	2	127.9	26.8	1250	1500	1;11;10	1250;1250;1250	370;600;360	20;20;20	0;0;1	1;2;3;4;5;7;8
61	哈瓦那	5	19	1	-82.5	23.2	1300	1000	11;31;34;37;95	500;800;800;500;900	470;680;730;480;1140	20;20;25;17;20	0;1;0;0;0	0;2;3;4;5;6;7;8
62	圣多明尼加	5	19	2	-69.6	18.6	1000	700	9;10;11;33;34	600;2500;500;800;500	340;360;450;440;720	25;20;20;20;25	0;0;0;0;0	1;2;3;4;5;7;8
63	圣约翰	5	19	2	-66.2	18.6	700	800	10;11;31;37;68	600;500;500;500;1000	400;470;520;480;880	21;20;25;17;8	1;0;1;0;0	1;2;3;4;5;7;8
64	牙买加	5	19	2	-76.9	18.1	800	500	5;11;31;33;37	600;500;500;600;1000	235;470;500;440;480	20;20;20;20;23	0;0;1;0;0	1;2;3;4;7;8
65	委拉克路斯	5	20	1	-96.8	19.7	2400	2600	2;26;29;41;40	1000;1800;1300;900;2000	370;550;550;5500;2100	25;25;20;8;17	0;0;0;0;0	0;2;3;4;5;6;7;8
66	美利达	5	20	2	-89.4	21.5	1400	900	7;9;26;66;103	1000;800;500;800;1000	450;340;490;2550;230	17;25;25;10;20	0;0;0;0;0	1;2;3;4;7;8
67	波多韦多	5	20	2	-80.1	9.4	100	200	2;10;3;33;104	500;100;900;100;500	370;350;220;400;200	25;20;20;20;25	0;1;0;0;0	1;2;3;4;5;7;8
68	马拉开波	5	20	2	-71.6	11.1	1000	700	7;31;73;76;6	500;500;800;1500;2500	440;460;2600;4350;500	20;20;12;10;23	0;1;1;0;0	1;2;3;4;7;8
69	伯南布哥	5	20	2	-35	-7.8	700	1100	2;31;39;100;101	700;150;900;700;150	340;470;5350;590;640	25;25;8;25;25	0;1;0;0;0	1;2;3;4;5;7;8
70	特卢希优	5	20	2	-86	16	400	300	2;26;34;68;86	400;550;600;650;800	340;550;720;770;580	25;25;25;10;23	0;1;0;0;0	1;2;3;4;7;8
71	卡恩内	5	20	2	-53.3	5.5	300	200	9;30;33;29;40	300;1500;550;700;1200	340;490;410;500;1850	25;25;20;15;15	0;0;0;0;0	1;2;3;4;7;8
72	希拉雷奥涅	4	10	2	-13.7	9.6	450	300	13;39;101	450;1000;1200	515;5850;650	12;5;15	0;0;0	1;2;3;4;7;8
73	圣多美	4	10	2	6.3	0.3	300	100	11;67;59	300;900;1000	610;1500;800	10;10;20	0;0;0	1;2;3;4;7;8
74	马达加斯加	4	11	2	45.4	-15.8	200	100	59;100;27	300;500;800	800;600;970	10;25;20	0;0;0	1;2;3;4;7;8
75	蒙巴萨	4	11	2	39.5	-3.9	700	700	79;63;68;26	700;800;700;700	1650;1200;790;850	10;15;10;10	0;0;0;1	1;2;3;4;7;8
76	索哥德拉	3	12	2	54	12.7	500	500	15;5;64	500;500;1500	270;240;1100	10;15;5	0;0;0	1;3;4;7;8
77	喀拉蚩	3	13	2	70.8	21	1200	1000	1;5;11;64;53	1000;900;1200;1500;1600	365;240;600;1000;1800	25;25;25;8;10	0;0;0;0;0	1;2;3;4;7;8
78	马德拉斯	3	13	2	80.1	13.7	1100	800	48;74;75;85;25	1100;2000;2000;1500;1400	390;5600;4600;620;1100	25;5;8;10;10	0;0;0;0;0	1;2;3;4;7;8
79	马斯利巴丹	3	13	2	82.1	17	900	700	56;78;87;97	900;1200;1000;1200	820;1440;410;600	20;8;20;20	0;0;0;0	1;2;3;4;7;8
80	阿镇	2	15	2	97.1	5.3	1000	1000	31;24;27	1000;1000;1500	690;330;280	15;10;15	1;0;0	1;2;3;4;7;8
81	吉阿丁	2	14	2	107.1	10.7	400	300	1;68;73;96;7	400;500;800;850;1500	360;700;2500;800;500	20;10;8;15;15	0;0;0;0;0	1;2;3;4;7;8
82	汉杰鲁马辰	2	15	2	114.2	-3.2	400	200	96;89;10	400;500;500	800;270;400	10;20;25	0;1;0	1;2;3;4;7;8
83	马加撒	2	15	2	119.4	-4.9	300	300	10;68;84	300;600;500	400;700;365	25;8;20	0;0;0	1;2;3;4;7;8
84	泗水	2	15	2	112.6	-7.3	500	400	21;88;5	500;500;400	360;420;240	20;10;20	1;0;0	1;2;3;4;7;8
85	沂州	1	16	2	119.5	34.6	1000	1200	4;94;49;13	1000;1500;1600;2000	3300;1060;400;700	25;20;20;20	0;0;0;0	1;2;3;4;7;8
86	朋沙科拉	5	19	2	-87.3	30.5	200	200	2;4;0;48;34	500;1000;2000;3000;3500	350;340;350;360;700	5;15;20;20;15	0;0;0;0;1	2;7
87	阿布哈兹	6	8	2	38.5	41.9	200	200	0;34;11;32;102	500;2500;2000;1500;3500	350;1050;650;1950;350;	25;10;15;10;20	0;1;0;1;1	7
88	雷利史塔特	7	1	2	6.5	52.8	200	200	54;51;52;53;7	500;1500;2500;4000;3000	340;500;380;300;500	20;15;125;10;15	0;0;0;1;1	7
89	淡水	1	16	2	120.8	24.9	200	200	10;32;52;48;1	500;1500;2500;3000;2000	380;450;500;400;380	15;20;15;15;15	1;0;1;1;0	7
90	圣马罗	7	1	2	-2.6	48.7	800	600	35;0;94	1000;500;800	450;350;1050	10;20;12	0;0;0	7
91	拿坡里	6	6	2	14.5	40.9	2200	2400	42;58;14;35;0	2500;3000;1500;2000;1800	790;360;360;450;350	10;5;20;18;15	0;0;0;0;0	1;2;3;4;7;8
92	班加西	6	9	2	21.6	33	400	500	12;47;15	2000;1000;500	730;380;250	20;15;20	1;0;0	1;7
93	马纳多	2	13	2	124.8	1.7	200	200	89;21;5;1;15	1500;1000;300;600;500	270;400;220;240;220	15;10;20;10;20	0;1;0;0;0	1;2;3;4;5;8
94	釜山	1	17	2	128.4	35	1000	400	80;58;5;1	1000;2000;500;800	2650;2800;250;350	5;5;20;15;	0;0;0;0	1;7
95	江户	1	18	2	139.7	35.6	800	800	92;93;44;1	1000;2000;1500;800	480;450;690;350	10;10;15;20	0;0;0;0	1;7
96	卡拉卡斯	5	20	2	-66.4	10.7	200	200	40;86;3;1;94	1800;1000;500;2200;1500	1800;570;200;360;950	10;10;20;10;10	0;0;0;0;0	1;7
