storyId,description,command,parameter1,parameter2,parameter3,parameter4
1,对话（找了一艘形同废物的船，我和@{npc:4}一起修好的。）,12,3,3,14,0
1,对话（哎呀，现在不行……存够了钱再去吧。）,12,3,3,15,0
1,显示图片a,1,a,CG_4.png,0,1
1,设置图片a透明,5,a,0,0,0
1,a透明正常3秒,5,a,1,3,0
1,等待4秒,7,4,0,0,0
1,移除d,6,d,0,0,0
1,显示文字，走吧……。,13,16,0,0,0
1,等待点击,8,0,0,0,0
1,移除文字,14,0,0,0,0
1,等待1秒,7,1,0,0,0
1,对话（嗯？）,12,4,4,17,0
1,对话（找了一艘形同废物的船，我和@{npc:4}一起修好的。）,12,3,3,18,0
1,对话（库拉乌迪也说过，出海吧！钱的事拜托弗里奥大叔就能解决了！）,12,2,2,19,0
1,隐藏图片a,5,a,1,0,0
1,等待2秒,7,2,0,0,0
1,移除a,6,a,0,0,0
1,显示图片a,1,a,Town_1.png,0,1
1,设置图片a透明,5,a,0,0,0
1,a透明正常1秒,5,a,1,1,0
1,等待2秒,7,2,0,0,0
1,对话（现在去找弗里奥大叔！！）,12,2,2,20,0
1,对话（喂！拉斐尔！）,12,3,3,21,0
1,对话（杰拿斯和库拉乌迪你们继续修理！拜托了！！）,12,2,2,22,0
1,脚步声,10,steps.wav,0,0,0
1,对话（喂！等一下！拉斐尔！）,12,3,3,23,0
1,对话（哎呀，结果那家伙最想出海。）,12,3,3,24,0
1,对话（哈哈，传染上了库拉乌的毛病。一旦决定做什么就非马上动手不可。）,12,4,4,25,0
1,对话（那家伙本来就是那样。只是平时看不出来。修理得怎么样了？）,12,3,3,26,0
1,对话（基本上完全成了。结果几乎都是我做的……。）,12,4,4,27,0
1,对话（行了，不要斤斤计较。想得开才会快乐。）,12,3,3,28,0
1,对话（啊哈，是啊。那我们也去吗？弗里奥大叔那儿。）,12,4,4,29,0
1,对话（当然。拉斐尔还是希望我也跟着去，对吧。）,12,3,3,30,0
1,对话（啊哈，是啊。那我们也去吗？弗里奥大叔那儿。）,12,4,4,31,0
1,隐藏图片a,5,a,3,0,0
1,等待5秒,7,3,0,0,0
1,移除a,6,a,0,0,0
1,显示图片a,1,a,CG_5.png,0,1
1,设置图片a透明,5,a,0,0,0
1,a透明正常1秒,5,a,1,3,0
1,等待5秒,7,5,0,0,0
1,显示b弗里奥大叔,1,b,Portrait_5.png,0,0
1,设置anchor,2,b,0,0.5,0
1,移动,3,b,0.5,0,0
1,缩小b弗里奥大叔,4,b,0.95,0,1
1,隐藏图片b,5,b,0,0,0
1,b透明正常1秒,5,b,1,1,0
1,等待2秒,7,2,0,0,0
1,播放拉斐尔背景,9,lafeier.wav,0,0,0
1,对话（什么！？又借钱！库拉乌迪你这小子，岂有此理！想做什么用？）,12,5,5,32,0
1,对话（……。不要突然喊这么大声，大叔！）,12,3,3,33,0
1,对不起，给您添麻烦了。,12,2,2,34,0
1,啊，你是卡斯特路家的少爷吗？,12,5,5,35,0
1,失礼之处，请原谅。,12,2,2,36,0
1,我说过我已不像从前，对吧？而且我也说了以后会认真做，对吧？不要令色，借钱给我们吧！,12,3,3,37,0
1,我从没见过你认真工作，叫我如何相信你所说的？,12,5,5,38,0
1,嗯，平常的所作所为啊！,12,4,4,39,0
1,呜呜……。,12,3,3,40,0
1,求求您！！弗里奥先生！是我提出来的要求！！……这也不行吗？,12,2,2,41,0
1,嗯，因为是一大笔钱。即使是拉斐尔少爷求我……你父亲会说什么？,12,5,5,42,0
1,我绝对不想依靠我父亲。我一定会还您的！无论如何拜托您了！！,12,2,2,43,0
1,噢噢，令人佩服。是要自立啊。……但是，恩，我知道了你的决心……。,12,5,5,44,0
1,啊，是吗？我不求您了。喂，走吧。拉斐尔，杰拿斯。,12,3,3,45,0
1,喂喂，我知道了，别拉我。,12,4,4,46,0
1,……给您添麻烦了对不起。告辞了。,12,2,2,47,0
1,……,12,5,5,48,0
1,脚步声,10,steps.wav,0,0,0
1,设置图片a透明,5,a,0,2,0
1,设置图片b透明,5,b,0,2,0
1,等待3秒,7,3,0,0,0
1,移除a,6,a,0,0,0
1,移除b,6,b,0,0,0
1,显示图片a,1,a,Town_3.png,0,1
1,设置图片a透明,5,a,0,0,0
1,a透明正常1秒,5,a,1,3,0
1,等待5秒,7,5,0,0,0
1,啊，虽然这么说，但你想怎么办呢？,12,3,3,49,0
1,拉斐尔，为什么你不求你父亲呢？,12,4,4,50,0
1,……父亲总是把我当孩子。他一定反对我上船。,12,2,2,51,0
1,现在不做点儿什么，永远无法改变他的观念！,12,2,2,52,0
1,恩，拉斐尔！好！有气概！男子汉应当这样！,12,3,3,53,0
1,那无关紧要，但最重要的东西还没有。光靠男子汉气概……。,12,4,4,54,0
1,不要说那些。唉，只能踏踏实实的做下去。,12,3,3,55,0
1,备注：添加脚步声，大叔出现,100,0,0,0,0
1,脚步声,10,steps.wav,0,0,0
1,等待2秒,7,2,0,0,0
1,喂————,12,5,5,56,0
1,哎呀是弗里奥先生。什么事？,12,2,2,57,0
1,能追上你们，太好了。,12,5,5,58,0
1,什么事？,12,4,4,59,0
1,我想了很多……。,12,5,5,60,0
1,啊，真令人心急啊。快说，大叔。,12,3,3,61,0
1,是这样。……恩，拉斐尔，这你拿去吧。,12,5,5,62,0
1,！！这是！！,12,2,2,63,0
1,获得30000金币,17,money,1,30000,0
1,既然给了你，所以连利息在内要按期还我。,12,5,5,64,0
1,是，是！我一定努力！,12,2,2,65,0
1,但是，我还是担心资金的去向。因此我决定看守着。,12,5,5,66,0
1,？？,12,2,2,67,0
1,不明白吗？我是说我也要上船。,12,5,5,68,0
1,真的吗！？,12,2,2,69,0
1,噢，太好了太好了。能和老练的航海士一起出海，信心倍增。,12,4,4,70,0
1,别这么夸我，我会不好意思。……我有一段时间没有上船了。,12,5,5,71,0
1,恩，这老家伙真的可以吗？,12,3,3,72,0
1,请不要净说失礼的话……弗里奥先生也是一位有名的海员。,12,4,4,73,0
1,因此，拉斐尔，你是舰长。,12,4,4,74,0
1,我！？但是，船是杰拿斯和库拉乌迪……。,12,2,2,75,0
1,这钱是因为信任卡斯特路商会的总司令，信任拉斐尔·卡斯特路才借给你们的。负责人是你。,12,5,5,76,0
1,恩，卡斯特路商会！？总，总司令那么……。,12,2,2,77,0
1,你想在世界著名的航海者们活跃的海上扬名天下吧？必须要有这种活动干劲。,12,5,5,78,0
1,总之，拉斐尔·卡斯特路应该是这条船的舰长，也是舰队的总提督，又是卡斯特路商会的总司令。,12,5,5,79,0
1,还有什么事？如果任命库拉乌迪为总司令，发生了什么事故那你要一辈子为我干活了……。,12,5,5,80,0
1,可以吗？,12,5,5,81,0
1,那，那家伙真难对付！不行，总司令还是拉斐尔。对不对，杰拿斯！,12,3,3,82,0
1,恩，我也不适合担任总司令。,12,4,4,83,0
1,但，但是……。,12,2,2,84,0
1,没什么，你只要好好努力就行了。,12,5,5,85,0
1,明白了！我会的！,12,2,2,86,0
1,恩，那我就放心了。那钱就作为最初的周转资金使用吧。,12,5,5,87,0
1,谢谢！我们会小心使用！,12,2,2,88,0
1,太谢谢您了。,12,4,4,89,0
1,噢！大叔，你人真好啊！,12,3,3,90,0
1,胡说什么，年纪轻轻的自以为是。,12,5,5,91,0
1,老人家，干嘛这么冲！我不是在称赞你吗！,12,3,3,92,0
1,……好像不让你尝点苦头，不知道我的厉害。,12,5,5,93,0
1,噢？你敢吗？,12,3,3,94,0
1,嘻！嘻！我还不会输给你！,12,5,5,95,0
1,请住手！两位！,12,2,2,96,0
1,这家伙不用拳头揍他一次，难消我心中之气。,12,5,5,97,0
1,是吗？你想这段手指吗？,12,3,3,98,0
1,行了！这是舰长的命令！别打了！,12,2,2,99,0
1,好，既然舰长这么说的话！,12,3,3,100,0
1,既然舰长这么说的话。,12,5,5,101,0
1,啊，别学我说话！老头！,12,3,3,102,0
1,哼，谁学你？,12,5,5,103,0
1,……好了好了。,12,4,4,104,0
1,画面黑暗,100,0,0,0,0
1,设置图片a透明,5,a,0,1,0
1,等待2秒,7,2,0,0,0
1,回复a不透明,5,a,1,1,0
1,等待2秒,7,2,0,0,0
1,别管这傻瓜，如果这样决定了，准备工作很重要。航海所需的物品备齐了吗？,12,5,5,105,0
1,我们要不畏艰难，努力做下去。,12,5,5,106,0
1,是！多多指教！,12,2,2,107,0
1,呸，那老头，只不过知道一点航海相关知识，就把自己当做是拉斐尔的老师。,12,3,3,108,0
1,脚步声,10,steps.wav,0,0,0
1,喂喂，不好胡说了，走吧。,12,4,4,109,0
1,杰拿斯加入,17,npc,1,4,0
1,库拉乌迪·马奈乌斯成为伙伴！,17,npc,1,3,0
1,弗里奥·埃涅科成为伙伴！,17,npc,1,5,0
1,那么开始进行航海的必要准备吧。,12,4,4,110,0
1,跟弗里奥先生学准备的方法吗？还是自己进行出海的准备呢？,12,4,4,111,0
1,获得 船只 ,17,ship,1,0,0
1,选项学学吧、自己也能做的,15,112,0;1_1,0;0,0
1,恩。那么开始准备吧。先去交易所吗？,12,5,5,113,0
1,在任何城市，出海前去交易所、酒馆、广场转转的好。,12,5,5,114,0
1,开启触发交易所剧情,19,0,2,0,0
1,开启触发酒馆剧情,19,0,4,0,0
1_1,奥！这可以交给你。喂，要加油啊。,12,5,5,175,0
2,显示图片a,1,a,CG_6.png,0,1
2,设置图片a透明,5,a,0,0,0
2,a透明正常1秒,5,a,1,1,0
2,等待2秒,7,1,0,0,0
2,交易品低价买入高价卖出，这是交易的基本常识。,12,5,5,115,0
2,如果能往返于地中海和非洲之间，可以很容易赚到钱。,12,5,5,116,0
2,还有，不要一下子就突然出远洋，应该在近海多看一看。,12,5,5,117,0
2,查看各城市的市场行情，可以瞄准机会赚大钱。,12,5,5,118,0
2,可以在里斯本购买藏红花或者杏仁到休达一带去卖。,12,5,5,119,0
2,最初，船只数量、可以存储货物的货仓，数量都很少。一次可以买卖的货物数量不多。,12,5,5,120,0
2,一个货仓可以装载的最大限量是买卖的一个单位。可以购买货物的数量要对应货仓数。,12,5,5,121,0
2,此外根据“占有率”不同，一次交易的数量也发生变化。当然“占有率越高，可以交易的数量越多。,12,5,5,122,0
2,市场占有率？;原来如此。,15,123,0;2_1,0;0,0
2,占有率……怎么才能增加呢？,12,2,2,124,0
2,如果占有率有空缺，王宫、交易所会分配给投资者。,12,5,5,125,0
2,哎呀，最初可以不理。等赚了一些钱，船只数量增加之后再说。总之，先进行交易试试看。,12,5,5,126,0
2,Goto story,20,2_1,0,0,0
2_1,如果一切都好了，按“确定”交易完成。来吧，做做看。,12,5,5,127,0
2_1,开启离开交易所剧情,19,0,3,0,0
3,显示图片a,1,a,Town_3.png,0,1
3,设置图片a透明,5,a,0,0,0
3,a透明正常1秒,5,a,1,1,0
3,等待1秒,7,1,0,0,0
3,到现在都没问题了吧？接下来我要讲的就是关于水手，也就是我们的事情。,12,5,5,128,0
3,提督的重要工作之一就是“人事”。,12,5,5,129,0
3,为了让航海顺利进行，应该决定每个水手所担任的职务。这要配合甲板上的实务来进行人事分配。,12,5,5,130,0
3,首先，舰长是拉斐尔。没有舰长船就不能移动，它不能想去哪就去哪。,12,5,5,131,0
3,下一个是操帆手。根据风向调节帆的角度，需要操帆手人数同桅杆数相同。,12,5,5,132,0
3,接下来是操舵手，如果想赶快转舵，就变得很重要了。,12,5,5,133,0
3,海战时，操舵手技术熟练，就可以把船驾驶到有利的位置。,12,5,5,134,0
3,还有副官。没有他，船也可以正常移动。但如果有他，既可以和其他势力进行交涉，在航海中大家又不容易疲劳，是无名英雄。,12,5,5,135,0
3,如果有测量员可以进行“自动移动”，知道舰队所在的经纬度。是件非常重要的工作。,12,5,5,136,0
3,瞭望手的工作是在海上禀报其他船只的状况和城市的情况。,12,5,5,137,0
3,如果一般出海，安排这些就可以了。以后再进行各种研究。,12,5,5,138,0
3,请从下面的选单中选择“甲板”。打开甲板画面，可以变更水手担任的职务。,12,0,0,139,0
4,显示图片a,1,a,CG_7.png,0,1
4,设置图片a透明,5,a,0,0,0
4,a透明正常1秒,5,a,1,1,0
4,等待1秒,7,1,0,0,0
4,顺利招募水手的窍门是请他们喝酒，可以让他们了解提督的器量。,12,5,5,141,0
4,请他们喝酒，他们不会不高兴。哎呀，最初即使不这样做也能招募到所需的人数。,12,5,5,142,0
4,按“招募水手”，可以给我们招募多少人？,12,5,5,143,0
4,最后，就是分配水手了，但是如果只有一条船，那和“重视旗舰”没关系。,12,5,5,144,0
4,水手增加，可航行的天数就会减少，所以当雇佣人数超过必要人数时，需要注意。,12,5,5,145,0
4,来吧，做做看吧。,12,5,5,146,0
4,开启离开酒馆剧情,19,0,5,0,0
5,显示图片a,1,a,Town_3.png,0,1
5,设置图片a透明,5,a,0,0,0
5,a透明正常1秒,5,a,1,1,0
5,等待1秒,7,1,0,0,0
5,如果雇人就需要物资，也就是需要谁和粮食，在码头能得到。走吧。,12,5,5,147,0
5,a透明正常1秒,5,a,0,1,0
5,显示图片b,1,b,Town_1.png,0,1
5,设置图片b透明,5,b,0,0,0
5,b透明正常1秒,5,b,1,1,0
5,等待1秒,7,1,0,0,0
5,移除a,6,a,0,0,0
5,TODO：增加切换到码头的图片,100,0,0,0,0
5,码头的小伙子会主动帮你补给，所以很轻松。,12,5,5,148,0
5,钱不够的时候，你有多少钱就补给你多少。,12,5,5,149,0
5,拒绝补给的话，可以变更水和粮食的补给比例，但实际上使用的机会不多。,12,5,5,150,0
5,物资不足就发挥不了水手原有的能力。有好船也没用。要注意物资的剩余数量。,12,5,5,151,0
5,准备好了吗？,12,5,5,152,0
5,终于出海了。出海后该怎么办？,12,2,2,153,0
5,什么？就光想着出海，全没考虑到其他的事呀？,12,3,3,154,0
5,哈哈，没想到库拉乌迪说话这么有条理。,12,4,4,155,0
5,什么！那么难道我做事总是莽莽撞撞的吗！,12,3,3,156,0
5,哎呀，对不起。我感到吃惊的是库拉乌迪有自己的想法。那么说说您的好主意。,12,4,4,157,0
5,恩？啊，哎呀，恩……， 有了！！,12,3,3,158,0
5,攻打海盗怎么样！？我冲进敌船，吧那些家伙全打死！,12,3,3,159,0
5,……真是有雄心壮志呀。,12,4,4,160,0
5,要认真考虑。凭现在我们的实力，有多少条命也不够。,12,2,2,161,0
5,是啊。先到地中海、北海等地的港口看看。,12,5,5,162,0
5,如果转了几个港口，航海知识和交易知识就能自然掌握了。,12,5,5,163,0
5,是啊！伙伴也会增多！,12,4,4,164,0
5,恩。如果继续航海，光靠现在这些人有点让人不放心。,12,5,5,165,0
5,老头！为什么看着我说！,12,2,2,166,0
5,行了行了。确实还是人多比较好。,12,4,4,167,0
5,拉斐尔，你一定会遇到好朋友。,12,5,5,168,0
5,奥利弗……。,12,2,2,169,0
5,另外还需要资金。为了增加船只继续航海……。,12,4,4,170,0
5,怕什么，只要在各地反复进行交易，自然而然就会增加资金了。,12,5,5,171,0
5,如果不努力交易，资金只会越来越少。本钱都是我的，别开玩笑。,12,5,5,172,0
5,谢谢，奥利弗先生。我一定会努力赚钱还你。,12,2,2,173,0
5,哈哈哈，我在开玩笑。不要介意。那么，赶快走吧。,12,5,5,174,0
5,到达港口,21,7,0,0,0
